,station_id,bikes_available,docks_available,time
35499843,90,21,10,8/24/2016 22:13:56
35499844,90,21,10,8/24/2016 22:15:45
35499845,90,21,10,8/24/2016 22:16:56
35499846,90,21,10,8/24/2016 22:18:48
35499847,90,21,10,8/24/2016 22:19:47
35499848,90,21,10,8/24/2016 22:20:55
35499849,90,21,10,8/24/2016 22:22:01
35499850,90,21,10,8/24/2016 22:23:56
35499851,90,21,10,8/24/2016 22:24:50
35499852,90,21,10,8/24/2016 22:25:56
35499853,90,21,10,8/24/2016 22:26:56
35499854,90,21,10,8/24/2016 22:28:01
35499855,90,21,10,8/24/2016 22:28:56
35499856,90,21,10,8/24/2016 22:30:01
35499857,90,21,10,8/24/2016 22:30:56
35499858,90,21,10,8/24/2016 22:31:49
35499859,90,21,10,8/24/2016 22:32:53
35499860,90,21,10,8/24/2016 22:34:01
35499861,90,21,10,8/24/2016 22:35:59
35499862,90,21,10,8/24/2016 22:37:00
35499863,90,21,10,8/24/2016 22:37:52
35499864,90,21,10,8/24/2016 22:38:50
35499865,90,21,10,8/24/2016 22:39:55
35499866,90,21,10,8/24/2016 22:40:55
35499867,90,21,10,8/24/2016 22:42:01
35499868,90,21,10,8/24/2016 22:42:55
35499869,90,21,10,8/24/2016 22:44:44
35499870,90,21,10,8/24/2016 22:45:44
35499871,90,21,10,8/24/2016 22:47:00
35499872,90,21,10,8/24/2016 22:49:01
35499873,90,21,10,8/24/2016 22:49:55
35499874,90,21,10,8/24/2016 22:50:50
35499875,90,21,10,8/24/2016 22:52:01
35499876,90,21,10,8/24/2016 22:53:00
35499877,90,21,10,8/24/2016 22:54:01
35499878,90,21,10,8/24/2016 22:54:55
35499879,90,21,10,8/24/2016 22:57:01
35499880,90,21,10,8/24/2016 22:57:59
35499881,90,21,10,8/24/2016 22:59:59
35499882,90,21,10,8/24/2016 23:01:01
35499883,90,21,10,8/24/2016 23:01:52
35499884,90,21,10,8/24/2016 23:02:54
35499885,90,21,10,8/24/2016 23:03:51
35499886,90,21,10,8/24/2016 23:06:01
35499887,90,21,10,8/24/2016 23:07:01
35499888,90,21,10,8/24/2016 23:08:50
35499889,90,21,10,8/24/2016 23:09:47
35499890,90,21,10,8/24/2016 23:10:53
35499891,90,21,10,8/24/2016 23:12:00
35499892,90,21,10,8/24/2016 23:13:01
35499893,90,21,10,8/24/2016 23:14:00
35499894,90,21,10,8/24/2016 23:15:55
35499895,90,21,10,8/24/2016 23:17:00
35499896,90,21,10,8/24/2016 23:18:00
35499897,90,21,10,8/24/2016 23:18:54
35499898,90,21,10,8/24/2016 23:19:52
35499899,90,21,10,8/24/2016 23:22:01
35499900,90,21,10,8/24/2016 23:22:52
35499901,90,21,10,8/24/2016 23:24:00
35499902,90,21,10,8/24/2016 23:24:51
35499903,90,21,10,8/24/2016 23:25:46
35499904,90,21,10,8/24/2016 23:26:58
35499905,90,21,10,8/24/2016 23:27:59
35499906,90,21,10,8/24/2016 23:29:00
35499907,90,21,10,8/24/2016 23:29:55
35499908,90,21,10,8/24/2016 23:30:56
35499909,90,21,10,8/24/2016 23:32:00
35499910,90,21,10,8/24/2016 23:33:01
35499911,90,21,10,8/24/2016 23:33:56
35499912,90,21,10,8/24/2016 23:34:49
35499913,90,21,10,8/24/2016 23:35:56
35499914,90,21,10,8/24/2016 23:36:57
35499915,90,21,10,8/24/2016 23:37:54
35499916,90,21,10,8/24/2016 23:38:48
35499917,90,21,10,8/24/2016 23:39:48
35499918,90,21,10,8/24/2016 23:40:40
35499919,90,21,10,8/24/2016 23:42:00
